State Abbv,State,Percent of Population,Median Household Income,Percent of Income
AK,alaska,46%,"$75,723",2%
AL,alabama,47%,"$47,221",3%
AR,arkansas,44%,"$45,907",3%
AZ,arizona,44%,"$57,100",2%
CA,california,46%,"$66,637",2%
CO,colorado,52%,"$70,566",2%
CT,connecticut,54%,"$75,923",2%
DC,district of columbia,51%,"$70,982",2%
DE,delaware,47%,"$58,046",2%
FL,florida,42%,"$51,176",3%
GA,georgia,49%,"$53,527",3%
HI,hawaii,55%,"$72,133",1%
IA,iowa,54%,"$59,094",2%
ID,idaho,48%,"$56,564",2%
IL,illinois,51%,"$61,386",2%
IN,indiana,52%,"$56,094",2%
KS,kansas,53%,"$56,810",2%
KY,kentucky,44%,"$45,369",3%
LA,louisiana,42%,"$42,196",3%
MA,massachusetts,54%,"$72,266",2%
MD,maryland,54%,"$73,760",2%
ME,maine,49%,"$50,856",3%
MI,michigan,51%,"$57,091",2%
MN,minnesota,55%,"$70,218",2%
MO,missouri,51%,"$55,016",2%
MS,mississippi,42%,"$41,099",3%
MT,montana,43%,"$57,075",2%
NC,north carolina,45%,"$53,764",2%
ND,north dakota,55%,"$60,184",2%
NE,nebraska,55%,"$59,374",2%
NH,new hampshire,58%,"$76,260",2%
NJ,new jersey,55%,"$68,468",3%
NM,new mexico,36%,"$48,451",3%
NV,nevada,50%,"$55,431",2%
NY,new york,50%,"$61,437",2%
OH,ohio,51%,"$53,985",3%
OK,oklahoma,48%,"$50,943",2%
OR,oregon,46%,"$59,135",2%
PA,pennsylvania,53%,"$60,979",2%
RI,rhode island,51%,"$61,528",3%
SC,south carolina,46%,"$54,336",3%
SD,south dakota,49%,"$57,450",2%
TN,tennessee,46%,"$51,344",2%
TX,texas,49%,"$58,146",2%
UT,utah,60%,"$67,481",2%
VA,virginia,55%,"$66,451",2%
VT,vermont,47%,"$60,837",2%
WA,washington,49%,"$70,310",1%
WI,wisconsin,56%,"$59,817",2%
WV,west virginia,43%,"$44,354",3%
WY,wyoming,55%,"$57,829",2%